Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
84,this guy fell asleep!,Chandler,0,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
85,he fell asleep too!,Chandler,0,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
86,be mad at him!,Chandler,0,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
87,"or, call an ambulance.",Chandler,0,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
88,"okay, look, i think we have to tell rachel she messed up her dessert.",Joey,4,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
89,"what?! what is with everybody? its thanksgiving, not...truth-day!",Ross,0,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
90,"yes, and it is my dying wish to have that ring.",Phoebe,4,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
91,"see, if im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,4,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
92,"okay, thats enough honey!",Chandler,4,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
93,i dont know.  let me see the ring.,Customer,4,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
94,"great! okay, here.",Chandler,3,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
95,all right.,Customer,4,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
96,thank you. thank you. thank you!  and,Chandler,3,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
97,what've you been up to?,Chandler,4,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
98,"oh, you know, the usual, teaching aerobics, partying way too much.",Jade,4,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
99,"oh, and in case you were wondering, those are my legs on the new james bond poster.",Jade,4,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
100,can you hold on a moment? i have another call.  i love her.,Chandler,3,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
101,i know.,Ross,4,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
102,i'm back.,Chandler,4,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
103,"so, are we gonna get together or what?",Jade,4,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
104,"um, absolutely. uh, how 'bout tomorrow afternoon? do you know uh, central perk in the village, say, five-ish?",Chandler,4,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
105,"great, i'll see you then.",Jade,4,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
106,ok.  ok. having a phone has finally paid off.,Chandler,3,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
107,"even though you do do a good bob impression, i'm thinkin' when she sees you tomorow, she's probably gonna realize, ""hey, you're not bob.""",Ross,4,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
108,"i'm hoping that when bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,4,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
109,oh my god. you are pure evil.,Ross,1,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
110,"ok, pure evil , horny and alone . i've done this",Chandler,0,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
111,nobody!,Phoebe,0,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
112,nobody respects the bucket!,Phoebe,0,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
113,you wouldn't believe what people put in here!,Phoebe,0,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
114,look!,Phoebe,0,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
115,"okay, does this look like a garbage can to you?",Phoebe,0,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
116,no.,Monica,4,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
117,this is my wedding.,Ross,4,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
118,"all right, yknow what? we really are late! lets go! lets go! lets go!!",Monica,0,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
119,fine. youll-youll watch it on video when we get back.,Ross,4,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
120,here you go phoebe! here you go phobo! phewbedo! phaybobo.,Chandler,3,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
121,thank you.,Phoebe,4,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
122,thank you.,Phoebe,4,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
123,"all right, lets go! bye, pheebs!",Ross,3,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
124,"bye, pheebs!",Joey,3,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
125,london baby!!,Joey,3,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
126,"oh, do you need a hug? you dont have to bring me anything!",Phoebe,3,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
127,hey!,Chandler,4,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
128,hey! so estelle lined up a bunch of auditions for me tomorrow and ill have my health insurance back in no time.,Joey,3,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
129,"thats great, but shouldnt you be on the toilet right now?",Chandler,1,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
130,what?!,Joey,6,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
131,whats wrong with you?,Chandler,1,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
132,nothing!,Joey,4,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
133,"well, i-i got this blinding pain in my stomach when i was lifting weights before, then i uh passed out and uh, havent been able to stand up since.",Joey,2,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
134,"but um, i dont think its anything serious.",Joey,4,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
135,this sounds like a hernia. you have toyou-you go to the doctor!,Chandler,6,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
136,"no way! kay look, if i have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,2,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
137,thats a hernia.,Chandler,1,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
138,why did i have to start working out again?  damn you 15s!,Joey,0,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
139,i love your place! where is this guy from?,Mona,3,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
140,uh thats an eighteenth century indian artifact from calcutta.,Ross,4,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
141,"oh wow! so, youre more than just dinosaurs.",Mona,6,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
142,so much more.,Ross,4,neutral,13,3,8,8,"00:10:51,567","00:10:53,485"
143,"well, well to sum up, were having fun, you look young.",Ross,4,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
144,okay,Mona,4,neutral,14,1,8,11,"00:13:57,253","00:14:00,171"
145,but thats not enough. so soheres a key to my apartment.,Ross,4,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
146,really?!,Mona,6,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
147,really.,Ross,4,neutral,14,4,8,11,"0:14:14,986","0:14:15,320"
148,you dont think this is too fast.,Mona,4,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
149,get out!,Ross,0,negative,15,0,9,23,"00:42:09,652","00:42:13,488"
150,"ross, can i talk to you for a minute?",Charlie,4,neutral,15,1,9,23,"00:42:15,032","00:42:16,908"
151,"yes, please!  so, what's going on?",Ross,4,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
152,"uh, well... joey and i broke up.",Charlie,5,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
153,"oh my god, wh-what happened?",Ross,6,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
154,"joey is a great guy, but we're just... so different! i mean, during your speech he kept laughing at homo erectus!",Charlie,5,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
155,i knew that was him!,Ross,0,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
156,"anyway i just, uh, i think it's for the best.",Charlie,5,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
157,"hey, you ok?",Ross,4,neutral,15,8,9,23,"0:42:51,068","0:42:52,950"
158,i guess.,Charlie,5,negative,15,9,9,23,"0:42:52,950","0:42:55,208"
159,there was hum...  there was another reason that i thought it was time to end it with joey.,Charlie,4,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
160,i started to realize that i was having feelings for someone  else.,Charlie,4,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
161,"ok geller. last day of the conference, you know what happens to the keynote speaker.",Paleontologist,4,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
162,"oh, professor clerk we're kind of in the middle of a conversation, here.",Ross,4,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
163,"yeah, can you guys just throw him in the pool later?",Charlie,4,neutral,15,14,9,23,"0:43:22,933","0:43:24,905"
164,or we could throw you both in,Professore Clerk,3,positive,15,15,9,23,"0:43:24,905","0:43:27,073"
165,"ok, gentlemen!",Ross,0,negative,15,16,9,23,"0:43:27,187","0:43:28,147"
166,please!,Ross,0,negative,15,17,9,23,"0:43:28,147","0:43:28,699"
167,aren't we a little old for this?,Ross,0,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
168,"i mean, we're scientists, right?",Ross,4,neutral,15,19,9,23,"0:43:31,066","0:43:32,788"
169,we're academics.,Ross,0,negative,15,20,9,23,"0:43:32,788","0:43:33,798"
170,and most importantly i... you-you will have to catch us first.,Ross,3,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
172,"go, go, go!",Ross,3,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
173,"go, go, go!",Ross,3,positive,16,0,3,25,"00:04:41,197","00:04:42,239"
174,"oh yeah, now everybody wants to be under this hat!",Rachel,3,positive,16,1,3,25,"00:04:42,407","00:04:44,574"
175,oy!!,Phoebe,1,negative,16,2,3,25,"00:04:49,455","00:04:50,747"
176,whats with all this sand?,Monica,6,negative,16,3,3,25,"00:04:52,333","00:04:54,001"
177,"oh, yeah, bob said there might be flood damage.",Phoebe,4,neutral,16,4,3,25,"00:04:54,168","00:04:56,795"
178,"yeah, either that, or he has a really big cat.",Ross,4,neutral,16,5,3,25,"00:04:57,005","00:04:59,214"
179,"okay, see that blind guy right there? i'm gonna bash his head in later.",Joey,0,negative,17,0,5,19,"00:06:15,416","00:06:19,127"
180,"oh umm, my big scene is coming up. big scene coming up.",Joey,3,positive,17,1,5,19,"00:06:21,506","00:06:25,542"
181,"if you said, ""big lima bean, bubbling up."" would she understand the difference?",Chandler,4,neutral,17,2,5,19,"00:06:25,551","00:06:29,012"
182,rach? what are you doing?,Monica,4,neutral,17,3,5,19,"00:06:32,183","00:06:33,517"
183,"oh boy, i just can't watch. it's too scary!",Rachel,2,negative,17,4,5,19,"00:06:33,976","00:06:37,020"
184,it's a diaper commercial.,Monica,4,neutral,17,5,5,19,"00:06:37,480","00:06:39,731"
185,"oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,2,negative,17,6,5,19,"00:06:40,817","00:06:43,735"
186,pizza delivery!,Caitlin,3,positive,17,7,5,19,"0:06:47,281","0:06:49,793"
187,i'll get it! i will get that!,Ross,3,positive,17,8,5,19,"0:06:49,793","0:06:50,887"
188,hi!,Caitlin,3,positive,17,9,5,19,"0:06:53,538","0:06:54,665"
189,hi!,Ross,3,positive,17,10,5,19,"0:06:54,665","0:06:54,803"
190,"hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? huh?",Ross,4,neutral,18,0,5,21,"00:05:05,096","00:05:09,474"
191,"uhh, the ball thing.",Joey,4,neutral,18,1,5,21,"0:05:09,642","0:05:11,603"
192,yeah?,Ross,4,neutral,18,2,5,21,"0:05:11,603","0:05:12,542"
193,"hey ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,3,positive,18,3,5,21,"00:05:14,022","00:05:19,109"
194,"uhh,",Ross,4,neutral,18,4,5,21,"00:05:19,277","00:05:22,279"
195,okay!,Joey,3,positive,18,5,5,21,"00:05:23,489","00:05:24,990"
196,uh-oh.,Joey,2,negative,18,6,5,21,"0:05:28,578","0:05:29,670"
197,what?,Ross,4,neutral,18,7,5,21,"0:05:29,670","0:05:30,222"
198,i have to pee. and rachel's in the bathroom!,Joey,5,negative,18,8,5,21,"00:05:30,330","00:05:34,166"
199,"man, i didn't think we were gonna make it!",Joey,6,positive,18,9,5,21,"00:05:39,047","00:05:41,548"
200,"i know!  don't switch hands, okay?",Ross,2,negative,18,10,5,21,"00:05:42,383","00:05:45,969"
201,hey.,Joey,4,neutral,19,0,1,1,"0:10:11,861","0:10:14,990"
202,hey!,Phoebe,4,neutral,19,1,1,1,"0:10:14,990","0:10:15,133"
203,how did it go with erin?,Rachel,4,neutral,20,0,7,7,"00:10:56,155","00:10:59,157"
204,"oh, unbelievable! we had the best time!",Joey,3,positive,20,1,7,7,"00:10:59,408","00:11:01,368"
205,"yay!! oh so, youre not, youre not mad at us anymore?",Phoebe,3,positive,20,2,7,7,"00:11:01,535","00:11:06,164"
206,no!,Joey,3,positive,20,3,7,7,"0:11:02,703","0:11:03,538"
207,no!,Joey,3,positive,20,4,7,7,"0:11:03,538","0:11:04,760"
208,no!,Joey,3,positive,20,5,7,7,"0:11:04,760","0:11:05,303"
209,you guys were totally right!,Joey,3,positive,20,6,7,7,"0:11:05,303","0:11:06,298"
210,this is so much better than the first time we went out.,Joey,3,positive,20,7,7,7,"00:11:06,374","00:11:08,625"
211,yknow?,Joey,4,neutral,20,8,7,7,"00:11:08,625","00:11:08,834"
212,"that was so awkward, we were really nervous.",Joey,4,neutral,20,9,7,7,"00:11:08,834","00:11:11,378"
213,didnt you sleep together?,Phoebe,4,neutral,20,10,7,7,"0:11:11,629","0:11:12,811"
214,"yeah, that really calms me down.",Joey,4,neutral,20,11,7,7,"0:11:12,811","0:11:14,723"
215,and!,Joey,3,positive,20,12,7,7,"0:11:16,801","0:11:18,595"
216,we have so much in common!,Joey,3,positive,20,13,7,7,"0:11:18,595","0:11:18,734"
217,"she loves sandwiches, sports, although she is a met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,3,positive,20,14,7,7,"00:11:18,928","00:11:31,356"
218,"oh my god! listen to you talkin about having kids. oh my joey.  oh, please dont get married before i do.",Rachel,6,positive,20,15,7,7,"00:11:27,228","00:11:37,862"
219,okay.,Joey,4,neutral,20,16,7,7,"00:11:41,742","00:11:43,493"
220,how does she do that?,Monica,6,negative,21,0,1,4,"00:01:49,275","00:01:51,485"
221,i cannot sleep in a public place.,Ross,4,neutral,21,1,1,4,"00:01:51,653","00:01:54,822"
222,would you look at her? she is so peaceful.,Monica,3,positive,21,2,1,4,"00:01:54,989","00:02:00,994"
223,oh! what what what! ...hi.,Phoebe,6,positive,21,3,1,4,"00:02:01,162","00:02:03,622"
224,"it's okay, y'know, you just nodded off again.",Ross,4,neutral,21,4,1,4,"00:02:03,790","00:02:05,958"
225,what's going on with you?,Monica,6,positive,21,5,1,4,"00:02:06,126","00:02:08,127"
226,i got no sleep last night!,Phoebe,0,negative,21,6,1,4,"0:02:08,294","0:02:09,587"
227,why?,Ross,4,neutral,21,7,1,4,"0:02:09,587","0:02:09,991"
228,"my grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,1,negative,21,8,1,4,"00:02:10,088","00:02:17,177"
229,"oh, and deaf.",Phoebe,4,neutral,21,9,1,4,"00:02:17,345","00:02:18,887"
230,"so they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,4,neutral,21,10,1,4,"00:02:20,682","00:02:24,726"
231,you have no idea how loud they are!,Phoebe,1,negative,21,11,1,4,"00:02:24,894","00:02:26,937"
232,"well, if you want, you can stay with rachel and me tonight.",Monica,4,neutral,21,12,1,4,"0:02:29,023","0:02:30,900"
233,thanks.,Phoebe,3,positive,21,13,1,4,"0:02:30,900","0:02:32,175"
234,ew! what is that? something exploded!,Joey,1,negative,22,0,1,23,"00:09:00,248","00:09:03,667"
235,"it's just her water breaking. calm down, will you?",Nurse,4,neutral,22,1,1,23,"00:09:03,834","00:09:06,169"
236,"water breaking, what do you mean? what's that, water breaking?",Joey,6,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
237,"breathe, breathe, breathe.",Nurse,4,neutral,22,3,1,23,"00:09:09,882","00:09:13,510"
238,"are you insane? i mean joey, is going to kill you, hes actually going to kill you dead.",Monica,6,negative,23,0,3,11,"00:10:13,321","00:10:19,909"
239,okay! you dont think i thought of that?,Chandler,0,negative,23,1,3,11,"00:10:17,825","00:10:19,909"
240,how can you not know which one?,Phoebe,6,negative,23,2,3,11,"0:10:20,870","0:10:22,422"
241,i mean thats unbelievable.,Rachel,3,positive,23,3,3,11,"0:10:22,422","0:10:23,751"
242,"i mean, was it gina?",Monica,4,neutral,23,4,3,11,"0:10:23,873","0:10:24,873"
243,which one is gina?,Ross,4,neutral,23,5,3,11,"0:10:24,873","0:10:25,937"
244,"dark, big hair, with the airplane earrings.",Rachel,4,neutral,23,6,3,11,"00:10:26,042","00:10:28,209"
245,"no, no, no, thats dina.",Monica,4,neutral,23,7,3,11,"00:10:28,377","00:10:30,420"
246,"you see you cant tell which one is which either, dwha!!",Chandler,6,negative,23,8,3,11,"00:10:30,588","00:10:44,809"
247,"i dont know, you thought see you saturday was funny.",Rachel,4,neutral,24,0,3,14,"00:10:40,389","00:10:44,059"
248,"look honey, mark is in fashion okay, i like having a friend that i can share this stuff with.",Rachel,4,neutral,24,1,3,14,"00:10:44,727","00:10:49,397"
249,you guys would never want to go to a lecture with me.,Rachel,4,neutral,24,2,3,14,"00:10:49,565","00:10:51,483"
250,pa-haa!! i would love to go with you.,Ross,3,positive,24,3,3,14,"00:10:54,987","00:10:56,571"
251,really!?,Rachel,6,positive,24,4,3,14,"00:10:56,739","00:10:57,864"
252,"yeah, hey i-i have clothes, i even pick them out.",Ross,4,neutral,24,5,3,14,"00:10:58,032","00:11:01,660"
253,"i mean for, for all you know i could be a fashion..... monger.",Ross,4,neutral,24,6,3,14,"00:11:01,827","00:11:05,121"
254,"okay. honey, i would love for you to go with me.  what?",Rachel,3,positive,24,7,3,14,"00:11:11,379","00:11:15,256"
255,"what should i wear, now im all nervous.",Ross,2,negative,24,8,3,14,"00:11:15,549","00:11:19,969"
256,": i know, we did it!! hey, that was incredible, huh?!",Mr. Treeger,3,positive,25,0,4,4,"00:20:36,693","00:20:40,321"
257,"i know, it was amazing! i mean, we totally nailed it, it was beautiful.",Joey,3,positive,25,1,4,4,"00:20:40,572","00:20:44,075"
258,": thank you, listen, thanks a lot tribbiani, . oh my god, look at the time, i gotta catch the bus to the ball.",Mr. Treeger,3,positive,25,2,4,4,"00:20:44,284","00:20:51,916"
259,"oh well, okay, good luck.",Joey,3,positive,25,3,4,4,"00:20:52,459","00:20:56,462"
260,: yeah.,Mr. Treeger,4,neutral,25,4,4,4,"00:20:54,962","00:20:56,462"
261,unless you wanna practice the foxtrot again? or-or the tango?,Joey,4,neutral,25,5,4,4,"00:20:56,713","00:21:00,716"
262,": ahh, thanks but no. you see i-i think im ready to dance with girls.",Mr. Treeger,4,neutral,25,6,4,4,"00:21:01,093","00:21:09,350"
263,okay.,Joey,4,neutral,25,7,4,4,"0:21:08,100","0:21:08,742"
264,: yeah.,Mr. Treeger,4,neutral,25,8,4,4,"0:21:08,742","0:21:09,402"
265,go get em treeger.,Joey,4,neutral,25,9,4,4,"00:21:09,601","00:21:11,852"
266,": right.  hey, ahh, you wanna come? marge has a girlfriend.",Mr. Treeger,4,neutral,25,10,4,4,"00:21:16,275","00:21:19,860"
